 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;222;4;222;4;0;0;0;4.158
"=""00:30""";0;210;4;210;4;0;0;0;4.158
"=""00:45""";0;235;5;235;5;0;0;0;4.158
"=""01:00""";0;224;3;224;3;0;0;0;4.158
"=""01:15""";0;235;3;235;2;0;0;0;4.158
"=""01:30""";0;87;1;87;1;0;0;0;4.158
"=""01:45""";0;111;1;111;1;0;0;0;4.158
"=""02:00""";0;110;1;111;1;0;0;0;4.158
"=""02:15""";0;86;1;86;1;0;0;0;4.158
"=""02:30""";0;85;1;85;1;0;0;0;4.158
"=""02:45""";0;111;1;111;1;0;0;0;4.158
"=""03:00""";0;97;1;97;1;0;0;0;4.158
"=""03:15""";0;97;1;97;1;0;0;0;4.158
"=""03:30""";0;100;1;100;1;0;0;0;4.158
"=""03:45""";0;93;1;93;1;0;0;0;4.158
"=""04:00""";0;67;1;67;1;0;0;0;4.158
"=""04:15""";0;99;1;99;1;0;0;0;4.158
"=""04:30""";0;88;1;88;1;0;0;0;4.158
"=""04:45""";0;67;1;67;1;0;0;0;4.158
"=""05:00""";0;92;1;92;1;0;0;0;4.158
"=""05:15""";0;108;1;107;1;0;0;0;4.158
"=""05:30""";0;100;1;101;1;0;0;0;4.158
"=""05:45""";0;105;1;105;1;0;0;0;4.158
"=""06:00""";0;100;1;100;1;0;0;0;4.158
"=""06:15""";0;71;1;71;1;0;0;0;4.158
"=""06:30""";52;30;1;83;1;52;0;53;4.158
"=""06:45""";109;1;1;111;1;109;118;228;4.158
"=""07:00""";173;281;6;459;5;173;105;282;4.158
"=""07:15""";150;240;242;632;1;150;46;197;4.158
"=""07:30""";160;0;134;294;1;160;42;202;4.158
"=""07:45""";99;0;1;100;1;99;135;235;4.158
"=""08:00""";112;116;3;231;2;112;30;145;4.158
"=""08:15""";125;42;4;171;3;125;235;363;4.158
"=""08:30""";117;0;1;118;1;117;267;384;4.158
"=""08:45""";107;0;1;108;3;107;409;519;4.158
"=""09:00""";88;0;9;96;8;88;1.540;1.636;4.158
"=""09:15""";113;0;2;115;3;113;943;1.059;4.158
"=""09:30""";123;0;6;129;7;123;1.494;1.624;4.158
"=""09:45""";162;0;7;169;6;162;1.700;1.867;4.158
"=""10:00""";194;0;5;199;4;194;1.210;1.409;4.158
