 ;Gesamtverbrauch / Zähleränderung [kWh];Direktverbrauch / Zähleränderung [kWh] ;Batterieentladung / Zähleränderung [kWh] ;Netzbezug / Zähleränderung [kWh] ;PV-Erzeugung / Zähleränderung [kWh] ;Netzeinspeisung / Zähleränderung [kWh] ;Direktverbrauch / Zähleränderung [kWh]  ;Batterieladung / Zähleränderung [kWh]  
"=""01.05.2026""";"7,44";"5,20";"2,21";"0,04";"37,65";"29,69";"5,20";"2,76"
"=""02.05.2026""";"7,67";"3,96";"3,54";"0,16";"34,70";"27,81";"3,96";"2,94"
"=""03.05.2026""";"9,82";"6,19";"3,19";"0,45";"21,40";"9,60";"6,19";"5,62"
"=""04.05.2026""";"5,80";"3,61";"2,02";"0,17";"18,88";"12,14";"3,61";"3,17"
"=""05.05.2026""";"7,54";"3,32";"4,02";"0,20";"12,16";"4,55";"3,32";"4,33"
"=""06.05.2026""";"4,77";"2,19";"2,47";"0,10";"20,21";"14,50";"2,19";"3,52"
"=""07.05.2026""";"5,68";"2,37";"3,17";"0,14";"15,17";"8,10";"2,37";"4,70"
"=""08.05.2026""";"7,08";"3,55";"3,43";"0,10";"33,78";"27,26";"3,55";"2,97"
"=""09.05.2026""";"8,07";"3,90";"3,99";"0,13";"37,05";"29,15";"3,90";"4,05"
"=""10.05.2026""";"8,22";"4,33";"3,75";"0,14";"29,41";"19,73";"4,33";"5,37"
"=""11.05.2026""";"6,77";"2,13";"4,45";"0,16";"10,77";"4,00";"2,13";"4,66"
"=""12.05.2026""";"6,13";"2,67";"3,00";"0,43";"27,88";"19,94";"2,67";"5,28"
"=""13.05.2026""";"6,43";"2,55";"3,70";"0,14";"22,78";"16,10";"2,55";"4,20"
"=""14.05.2026""";"11,32";"4,65";"5,95";"0,72";"22,34";"10,80";"4,65";"6,89"
"=""15.05.2026""";"10,86";"4,02";"6,29";"0,56";"18,24";"8,02";"4,02";"6,34"
"=""16.05.2026""";"9,52";"4,52";"3,80";"1,19";"22,50";"12,06";"4,52";"5,92"
"=""17.05.2026""";"9,54";"4,97";"4,41";"0,15";"33,93";"24,01";"4,97";"4,98"
"=""18.05.2026""";"4,98";"2,54";"2,20";"0,24";"22,12";"14,20";"2,54";"5,40"
"=""19.05.2026""";"7,56";"5,51";"1,92";"0,13";"30,80";"22,41";"5,51";"2,90"
"=""20.05.2026""";"6,71";"3,94";"2,59";"0,19";"16,33";"9,66";"3,94";"2,76"
"=""21.05.2026""";"6,68";"2,80";"3,74";"0,13";"33,27";"27,29";"2,80";"3,21"
"=""22.05.2026""";"7,95";"2,75";"4,97";"0,22";"37,53";"30,20";"2,75";"4,60"
"=""23.05.2026""";"12,99";"7,50";"4,19";"1,17";"37,09";"24,66";"7,50";"4,97"
"=""24.05.2026""";"12,28";"8,68";"2,49";"1,01";"34,85";"21,17";"8,68";"5,00"
"=""25.05.2026""";"9,56";"7,22";"2,24";"0,11";"36,33";"25,18";"7,22";"3,96"
"=""26.05.2026""";"10,92";"6,44";"4,33";"0,16";"36,38";"26,65";"6,44";"3,29"
"=""27.05.2026""";"3,05";"1,50";"1,50";"0,05";"35,55";"28,70";"1,50";"5,35"
"=""28.05.2026""";"1,96";"1,08";"0,88";"0,01";"37,16";"34,66";"1,08";"1,43"
"=""29.05.2026""";"1,99";"1,10";"0,88";"0,01";"36,52";"33,95";"1,10";"1,48"
"=""30.05.2026""";"2,31";"1,30";"1,00";"0,01";"29,69";"26,95";"1,30";"1,45"
"=""31.05.2026""";"2,13";"1,20";"0,91";"0,02";"23,62";"20,98";"1,20";"1,45"
