 ;Direktverbrauch / Mittelwerte [W] ;Batterieentladung / Mittelwerte [W] ;Netzbezug / Mittelwerte [W] ;Gesamtverbrauch / Mittelwerte [W] ;Netzeinspeisung / Mittelwerte [W] ;Direktverbrauch / Mittelwerte [W]  ;Batterieladung / Mittelwerte [W]  ;PV-Erzeugung / Mittelwerte [W]  ;Begrenzung der Wirkleistungseinspeisung / Mittelwerte [W]  
"=""00:15""";0;167;2;167;2;0;0;0;4.158
"=""00:30""";0;134;0;134;0;0;0;0;4.158
"=""00:45""";0;96;0;96;0;0;0;0;4.158
"=""01:00""";0;97;0;97;0;0;0;0;4.158
"=""01:15""";0;113;0;113;0;0;0;0;4.158
"=""01:30""";0;119;0;119;0;0;0;0;4.158
"=""01:45""";0;100;0;100;0;0;0;0;4.158
"=""02:00""";0;115;0;115;0;0;0;0;4.158
"=""02:15""";0;97;1;97;1;0;0;0;4.158
"=""02:30""";0;80;0;79;0;0;0;0;4.158
"=""02:45""";0;84;0;84;0;0;0;0;4.158
"=""03:00""";0;111;0;111;0;0;0;0;4.158
"=""03:15""";0;72;0;72;0;0;0;0;4.158
"=""03:30""";0;76;0;76;0;0;0;0;4.158
"=""03:45""";0;82;32;114;0;0;0;0;4.158
"=""04:00""";0;0;105;105;0;0;0;0;4.158
"=""04:15""";0;0;116;116;0;0;0;0;4.158
"=""04:30""";0;0;99;99;0;0;0;0;4.158
"=""04:45""";0;0;93;93;0;0;0;0;4.158
"=""05:00""";0;0;74;74;0;0;0;0;4.158
"=""05:15""";0;0;85;85;0;0;0;0;4.158
"=""05:30""";0;0;132;132;0;0;0;0;4.158
"=""05:45""";0;0;69;69;0;0;0;0;4.158
"=""06:00""";0;0;77;77;0;0;0;0;4.158
"=""06:15""";6;0;93;99;0;6;0;6;4.158
"=""06:30""";81;0;18;100;5;81;10;96;4.158
"=""06:45""";91;0;1;92;1;91;147;239;4.158
"=""07:00""";110;0;1;112;2;110;304;416;4.158
